Tire_ID,check_point,MappedRCP
0916W03,0,0.999999999999999
0916W03,30,0.9999999999999984
0916W03,60,0.999999999999999
0916W03,90,1.0
0916W03,120,0.9999999999999988
0916W03,150,1.000001288849604
0916W03,180,0.9094622496147908
0916W03,210,0.8644067796610169
0916W03,240,0.8644067796610169
0916W03,270,0.6233050847457623
0916W03,300,0.1865932203389813
0916W03,330,0.0
0916W03,360,0.0
0916W03,390,0.0
0916W03,420,0.0
0916W03,450,0.0
0916W03,480,0.0
0916W03,510,0.0
0916W03,540,0.0
0916W03,570,0.0
0916W03,600,0.0
0916W03,630,0.0
0916W03,660,0.0
0916W03,690,0.0
0916W03,720,0.0
0916W03,750,0.0
0916W03,780,0.0
0916W03,810,0.0
0916W03,840,0.0
0916W03,870,0.0
0916W03,900,0.0
0916W03,930,0.0
0916W03,960,0.0
0916W03,990,0.0
0916W03,1020,0.0
0916W03,1050,0.0
0916W03,1080,0.0
0916W03,1110,0.0
0916W03,1140,0.0
0916W03,1170,0.0
0916W03,1200,0.0
0916W03,1230,0.0
0916W03,1260,0.0
0916W03,1290,0.0
0916W03,1320,0.0
0916W03,1350,0.0
0916W03,1380,0.0
0916W03,1410,0.0
0916W03,1440,0.0
0916W03,1470,0.0
0916W03,1500,0.0
0916W03,1530,0.0
0916W03,1560,0.0
0916W03,1590,0.0
0916W03,1620,0.0
0916W03,1650,0.0
0916W03,1680,0.0
0916W03,1710,0.0
0916W03,1740,0.0
0916W03,1770,0.0
0916W03,1800,0.0
0916W03,1830,0.0
0916W03,1860,0.0
0916W03,1890,0.0
0916W03,1920,0.0
0916W03,1950,0.0
0916W03,1980,0.0
0714T56,0,0.999999999999994
0714T56,30,1.000000000000007
0714T56,60,1.000000000000007
0714T56,90,0.987364406779664
0714T56,120,0.987364406779664
0714T56,150,0.987364406779664
0714T56,180,0.9823050847457596
0714T56,210,0.9823050847457596
0714T56,240,0.9823050847457596
0714T56,270,0.2922203389830495
0714T56,300,0.2922203389830495
0714T56,330,0.1792288135593224
0714T56,360,0.1792288135593224
0714T56,390,0.1792288135593224
0714T56,420,0.0677966101694913
0714T56,450,0.0677966101694913
0714T56,480,0.0677966101694915
0714T56,510,0.0677966101694917
0714T56,540,0.0677966101694917
0714T56,570,0.0512542372881353
0714T56,600,0.0512542372881353
0714T56,630,0.0512542372881353
0714T56,660,0.0377627118644065
0714T56,690,0.0377627118644065
0714T56,720,0.0
0714T56,750,0.0
0714T56,780,0.0
0714T56,810,0.0
0714T56,840,0.0
0714T56,870,0.0
0714T56,900,0.0
0714T56,930,0.0
0714T56,960,0.0
0714T56,990,0.0
0714T56,1020,0.0
0714T56,1050,0.0
0714T56,1080,0.0
0714T56,1110,0.0
0714T56,1140,0.0
0714T56,1170,0.0
0714T56,1200,0.0
0714T56,1230,0.0
0714T56,1260,0.0
0714T56,1290,0.0
0714T56,1320,0.0
0714T56,1350,0.0
0714T56,1380,0.0
0714T56,1410,0.0
0714T56,1440,0.0
0714T56,1470,0.0
0714T56,1500,0.0
0714T56,1530,0.0
0714T56,1560,0.0
0714T56,1590,0.0
0714T56,1620,0.0
0714T56,1650,0.0
0714T56,1680,0.0
0714T56,1710,0.0
0714T56,1740,0.0
0714T56,1770,0.0
0714T56,1800,0.0
0714T56,1830,0.0
0714T56,1860,0.0
0714T56,1890,0.0
0714T56,1920,0.0
0714T56,1950,0.0
0714T56,1980,0.0
MK6870,0,0.9999999999999996
MK6870,30,0.9999999999999986
MK6870,60,0.9999999999999992
MK6870,90,0.9999999999999992
MK6870,120,0.999999999999998
MK6870,150,1.0000000000000009
MK6870,180,0.9018398268398252
MK6870,210,0.7960824087016213
MK6870,240,0.7209956709956704
MK6870,270,0.4394901394901364
MK6870,300,0.0259722531142363
MK6870,330,0.0259740259740256
MK6870,360,0.0
MK6870,390,0.0
MK6870,420,0.0
MK6870,450,0.0
MK6870,480,0.0
MK6870,510,0.0
MK6870,540,0.0
MK6870,570,0.0
MK6870,600,0.0
MK6870,630,0.0
MK6870,660,0.0
MK6870,690,0.0
MK6870,720,0.0
MK6870,750,0.0
MK6870,780,0.0
MK6870,810,0.0
MK6870,840,0.0
MK6870,870,0.0
MK6870,900,0.0
MK6870,930,0.0
MK6870,960,0.0
MK6870,990,0.0
MK6870,1020,0.0
MK6870,1050,0.0
MK6870,1080,0.0
MK6870,1110,0.0
MK6870,1140,0.0
MK6870,1170,0.0
MK6870,1200,0.0
MK6870,1230,0.0
MK6870,1260,0.0
MK6870,1290,0.0
MK6870,1320,0.0
MK6870,1350,0.0
MK6870,1380,0.0
MK6870,1410,0.0
MK6870,1440,0.0
MK6870,1470,0.0
MK6870,1500,0.0
MK6870,1530,0.0
MK6870,1560,0.0
MK6870,1590,0.0
MK6870,1620,0.0
MK6870,1650,0.0
MK6870,1680,0.0
MK6870,1710,0.0
MK6870,1740,0.0
MK6870,1770,0.0
MK6870,1800,0.0
MK6870,1830,0.0
MK6870,1860,0.0
MK6870,1890,0.0
MK6870,1920,0.0
MK6870,1950,0.0
MK6870,1980,0.0
MK6503,0,0.9999999999999992
MK6503,30,1.0
MK6503,60,1.0
MK6503,90,0.9594931955606572
MK6503,120,0.9594931955606572
MK6503,150,0.9594931955606572
MK6503,180,0.93506326814771
MK6503,210,0.93506326814771
MK6503,240,0.93506326814771
MK6503,270,0.0598290598290607
MK6503,300,0.0598290598290607
MK6503,330,0.0598290598290607
MK6503,360,0.0598290598290606
MK6503,390,0.0598290598290606
MK6503,420,0.0598290598290607
MK6503,450,0.0598290598290607
MK6503,480,0.0598290598290607
MK6503,510,0.0598290598290606
MK6503,540,0.0598290598290606
MK6503,570,0.0598290598290606
MK6503,600,0.0598290598290607
MK6503,630,0.0598290598290607
MK6503,660,0.0598290598290607
MK6503,690,0.0598290598290607
MK6503,720,0.0598290598290607
MK6503,750,0.0598290598290607
MK6503,780,0.0598290598290607
MK6503,810,0.0598290598290607
MK6503,840,0.0598290598290607
MK6503,870,0.0598290598290607
MK6503,900,0.0598290598290607
MK6503,930,0.0598290598290606
MK6503,960,0.0598290598290606
MK6503,990,0.0598290598290607
MK6503,1020,0.0598290598290607
MK6503,1050,0.0598290598290607
MK6503,1080,0.0598290598290601
MK6503,1110,0.0598290598290601
MK6503,1140,0.0598290598290601
MK6503,1170,0.0598290598290612
MK6503,1200,0.0598290598290612
MK6503,1230,0.0598290598290612
MK6503,1260,0.0598290598290606
MK6503,1290,0.0598290598290606
MK6503,1320,0.0598290598290607
MK6503,1350,0.0598290598290607
MK6503,1380,0.0598290598290607
MK6503,1410,0.0598290598290608
MK6503,1440,0.0598290598290608
MK6503,1470,0.0598290598290608
