Tire_ID,age_category,check_point_zero
KH6251W,0-399,270.0
KH6252W,0-399,270.0
KH6250W,0-399,270.0
KH6505A,0-399,270.0
914RC04,0-399,270.0
914RC02,0-399,270.0
AM642,0-399,270.0
KH6253W,0-399,270.0
KH6454A,0-399,270.0
1214RC25,0-399,270.0
KH6260W,0-399,300.0
MK1589A,0-399,300.0
MK1714A,0-399,300.0
KR9553,0-399,300.0
MK6528,0-399,300.0
DC4480,0-399,300.0
DC4482,0-399,300.0
DC4479,0-399,300.0
DC4474,0-399,300.0
MK6800,0-399,300.0
JM2308A,0-399,300.0
CT245,0-399,300.0
MK6795,0-399,300.0
KR9551,0-399,300.0
KR10370,0-399,300.0
KR10448,0-399,300.0
0814T45,0-399,300.0
CK209,0-399,300.0
KR10388,0-399,300.0
KR9515,0-399,300.0
0814T53,0-399,300.0
KR10376,0-399,300.0
AM319,0-399,300.0
KR8818,0-399,300.0
KR10392,0-399,300.0
KR10116,0-399,300.0
0815A102,0-399,300.0
0814T40,0-399,300.0
KR8585,0-399,300.0
KR10414,0-399,300.0
0814T49,0-399,300.0
MK6803,0-399,300.0
CT249,0-399,300.0
CK125,0-399,300.0
MK6804,0-399,300.0
MK1491A,0-399,300.0
KR9626,0-399,300.0
JM2312A,0-399,300.0
JM2313A,0-399,300.0
0519WB201,0-399,300.0
JM2318A,0-399,300.0
JM2320A,0-399,300.0
0714T04,0-399,300.0
KH5294A,0-399,300.0
1214RC21,0-399,300.0
KH5489A,0-399,300.0
0518KB306,0-399,300.0
1214RC22,0-399,300.0
JM2314A,0-399,300.0
KR9628,0-399,300.0
KR11342,0-399,300.0
MK6807,0-399,300.0
0916C316,0-399,300.0
MK6808,0-399,300.0
AM271,0-399,300.0
AM282,0-399,300.0
AM285,0-399,300.0
0316A104,0-399,300.0
AM376,0-399,300.0
AM353,0-399,300.0
AM345,0-399,300.0
ST19W,0-399,300.0
STX15,0-399,300.0
MK1651A,0-399,300.0
MK6923,0-399,300.0
MK1409A,0-399,330.0
0815A106,0-399,330.0
KR10085,0-399,330.0
0519WA154,0-399,330.0
MK1444A,0-399,330.0
KH5837AW,0-399,330.0
KR8817,0-399,330.0
KR9777,0-399,330.0
MK6862,0-399,330.0
JM2310A,0-399,330.0
KR9631,0-399,330.0
0416W05,0-399,330.0
KR10371,0-399,330.0
0416W02,0-399,330.0
0718KB17,0-399,330.0
CT241,0-399,330.0
KH5815AW,0-399,330.0
JM2311A,0-399,330.0
KR9641,0-399,330.0
0416W06,0-399,330.0
KH5734A,0-399,330.0
CT240,0-399,330.0
MK1617A,0-399,330.0
KR9533,0-399,330.0
KR9575,0-399,330.0
KR8779,0-399,330.0
KR9581,0-399,330.0
KR9630,0-399,330.0
KR9585,0-399,330.0
KR9593,0-399,330.0
KR9607,0-399,330.0
MK1595A,0-399,330.0
0916C303,0-399,330.0
KR10373,0-399,330.0
MK1484A,0-399,330.0
KR8790,0-399,330.0
0916W03,0-399,330.0
KH6592W,0-399,330.0
MK1391A,0-399,330.0
0718KB19,0-399,330.0
MK6868,0-399,330.0
KR10485,0-399,330.0
MK6799,0-399,330.0
GT289W,0-399,330.0
MK1712A,0-399,330.0
GT295W,0-399,330.0
GT292W,0-399,330.0
GT290W,0-399,330.0
GT286W,0-399,330.0
MK6796,0-399,330.0
0319KB301,0-399,330.0
KR10407,0-399,330.0
MK1707A,0-399,330.0
KR8728,0-399,330.0
MK1703A,0-399,330.0
0416C301,0-399,330.0
KR10435,0-399,330.0
MK1674A,0-399,330.0
0814T41,0-399,330.0
STX20,0-399,330.0
GT297W,0-399,330.0
KR11324,0-399,330.0
KR7986,0-399,330.0
0316C304,0-399,330.0
MK6806,0-399,330.0
KR10524,0-399,330.0
MK6811,0-399,330.0
KR10564,0-399,330.0
MK6867,0-399,330.0
DC4468,0-399,330.0
MK6812,0-399,330.0
KR10577,0-399,330.0
KR11209,0-399,330.0
AM375,0-399,330.0
MK6932,0-399,330.0
MK7049A,0-399,330.0
KR11222,0-399,330.0
ST13W,0-399,330.0
KR8575,0-399,330.0
KR11306,0-399,330.0
DC4460,0-399,360.0
MK6459,0-399,360.0
XST08,0-399,360.0
0814T60,0-399,360.0
1214RC28,0-399,360.0
0818KB19,0-399,360.0
0718KB05,0-399,360.0
KR10401,0-399,360.0
0718KB01,0-399,360.0
0815C302,0-399,360.0
XST07,0-399,360.0
CT248,0-399,360.0
MK1452A,0-399,360.0
KR10413,0-399,360.0
MK1446A,0-399,360.0
DC4471,0-399,360.0
MK1415A,0-399,360.0
DC4453,0-399,360.0
KR7984,0-399,360.0
MK6801,0-399,360.0
CT246,0-399,360.0
KH6601W,0-399,360.0
0815C301,0-399,360.0
KR10112,0-399,360.0
0814T26,0-399,360.0
0814T39,0-399,360.0
0814T27,0-399,360.0
1215W08,0-399,360.0
0718KB08,0-399,360.0
AM149,0-399,360.0
0814T21,0-399,360.0
0416A101,0-399,360.0
0814T23,0-399,360.0
MK1624A,0-399,360.0
0416A103,0-399,360.0
0814T50,0-399,360.0
0718KB20,0-399,360.0
0416A102,0-399,360.0
0718KB07,0-399,360.0
0916W01,0-399,360.0
AM162,0-399,360.0
0916W02,0-399,360.0
0815C305,0-399,360.0
0818KB07,0-399,360.0
0518KB204,0-399,360.0
0714T45,0-399,360.0
0814T17,0-399,360.0
0316C303,0-399,360.0
0519WB202,0-399,360.0
0518KB202,0-399,360.0
1215W02,0-399,360.0
1215A104,0-399,360.0
MK6802,0-399,360.0
MK1721A,0-399,360.0
KR8860,0-399,360.0
KR9632,0-399,360.0
MK6871,0-399,360.0
KR7990,0-399,360.0
MK6872,0-399,360.0
MK6918,0-399,360.0
MK7060A,0-399,360.0
MK7059A,0-399,360.0
KR11212,0-399,360.0
AM387,0-399,360.0
MK6922,0-399,360.0
KR11134,0-399,360.0
MK6870,0-399,360.0
MK6925,0-399,360.0
KR11286,0-399,360.0
ST12W,0-399,360.0
AM334,0-399,360.0
KH6406SEN,0-399,360.0
MK6864,0-399,360.0
KH5825AW,0-399,360.0
KR10540,0-399,360.0
MK6856,0-399,360.0
MK6810,0-399,360.0
KR10561,0-399,360.0
KR10543,0-399,360.0
KH6595W,0-399,360.0
KH5841AW,0-399,360.0
MK7052A,0-399,360.0
KR9501,0-399,360.0
MK6865,0-399,360.0
KR10396,0-399,360.0
MK1456A,0-399,360.0
MK6805,0-399,360.0
KR10379,0-399,360.0
MK1702A,0-399,360.0
MK1600A,0-399,360.0
KR10382,0-399,360.0
MK1710A,0-399,360.0
MK1713A,0-399,360.0
MK1576A,0-399,360.0
MK1601A,0-399,360.0
MK1479A,0-399,360.0
GT431,0-399,360.0
