Episode,Timestep,Reward
455,20,-140
456,20,-110
457,20,-155
458,20,-155
459,20,-185
460,20,-125
461,20,-95
462,20,-110
463,20,-170
464,20,-125
465,20,-155
466,20,-140
467,20,-125
468,20,-155
469,20,-125
470,20,-140
471,20,-170
472,20,-155
473,20,-125
474,20,-140
475,20,-125
476,20,-170
477,20,-125
478,20,-170
479,20,-155
480,20,-155
481,20,-140
482,20,-125
483,20,-155
484,20,-125
485,20,-140
486,20,-155
487,20,-155
488,20,-140
489,20,-125
490,20,-140
491,20,-95
492,20,-140
493,20,-125
494,20,-95
495,20,-110
496,20,-140
497,20,-125
498,20,-140
499,20,-170
500,20,-155
501,20,-140
502,20,-110
503,20,-155
504,20,-125
505,20,-140
506,20,-155
507,20,-155
508,20,-170
509,20,-200
510,20,-155
511,20,-155
512,20,-125
513,20,-125
514,20,-185
515,20,-170
516,20,-140
517,20,-155
518,20,-200
519,20,-125
520,20,-155
521,20,-170
522,20,-170
523,20,-125
524,20,-155
525,20,-155
526,20,-95
527,20,-140
528,20,-125
529,20,-155
530,20,-125
531,20,-155
532,20,-125
533,20,-170
534,20,-140
535,20,-155
536,20,-95
537,20,-140
538,20,-170
539,20,-125
540,20,-155
541,20,-125
542,20,-110
543,20,-125
544,20,-170
545,20,-125
546,20,-80
547,20,-110
548,20,-95
549,20,-95
550,20,-125
551,20,-140
552,20,-140
553,20,-170
554,20,-155
555,20,-140
556,20,-170
557,20,-185
558,20,-155
559,20,-155
560,20,-185
561,20,-155
562,20,-155
563,20,-140
564,20,-125
565,20,-125
566,20,-140
567,20,-155
568,20,-140
569,20,-170
570,20,-155
571,20,-140
572,20,-140
573,20,-110
574,20,-125
575,20,-95
576,20,-125
577,20,-140
578,20,-125
579,20,-155
580,20,-125
581,20,-170
582,20,-155
583,20,-110
584,20,-80
585,20,-140
586,20,-155
587,20,-140
588,20,-110
589,20,-170
590,20,-155
591,20,-170
592,20,-140
593,20,-140
594,20,-95
595,20,-125
596,20,-125
597,20,-125
598,20,-140
599,20,-185
600,20,-170
601,20,-125
602,20,-155
603,20,-125
604,20,-155
605,20,-125
606,20,-140
607,20,-140
608,20,-155
609,20,-170
610,20,-125
611,20,-125
612,20,-110
613,20,-170
614,20,-185
615,20,-155
616,20,-140
617,20,-125
618,20,-170
619,20,-140
620,20,-125
621,20,-140
622,20,-170
623,20,-110
624,20,-125
625,20,-185
626,20,-170
627,20,-140
628,20,-170
629,20,-125
630,20,-155
631,20,-80
632,20,-170
633,20,-80
634,20,-155
635,20,-140
636,20,-155
637,20,-155
638,20,-185
639,20,-125
640,20,-155
641,20,-140
642,20,-155
643,20,-140
644,20,-110
645,20,-140
646,20,-140
647,20,-140
648,20,-95
649,20,-140
650,20,-170
651,20,-155
652,20,-140
653,20,-125
654,20,-110
655,20,-110
656,20,-155
657,20,-125
658,20,-140
659,20,-155
660,20,-125
661,20,-110
662,20,-140
663,20,-140
664,20,-125
665,20,-170
666,20,-170
667,20,-125
668,20,-185
669,20,-140
670,20,-125
671,20,-125
672,20,-155
673,20,-140
674,20,-185
675,20,-95
676,20,-170
677,20,-140
678,20,-125
679,20,-170
680,20,-125
681,20,-95
682,20,-200
683,20,-170
684,20,-185
685,20,-185
686,20,-125
687,20,-140
688,20,-125
689,20,-125
690,20,-140
691,20,-155
692,20,-155
693,20,-155
694,20,-140
695,20,-125
696,20,-155
697,20,-155
698,20,-170
699,20,-140
700,20,-185
701,20,-140
702,20,-140
703,20,-155
704,20,-140
705,20,-140
706,20,-125
707,20,-140
708,20,-125
709,20,-95
710,20,-95
711,20,-110
712,20,-125
713,20,-140
714,20,-140
715,20,-140
716,17,5
717,20,-170
718,20,-170
719,20,-140
720,20,-125
721,20,-155
722,20,-125
723,20,-140
724,20,-155
725,20,-110
726,20,-95
727,20,-155
728,20,-140
729,20,-155
730,20,-170
731,20,-125
732,20,-155
733,20,-80
734,20,-80
735,20,-155
736,20,-155
737,20,-110
738,20,-110
739,20,-140
740,20,-170
741,20,-155
742,20,-125
743,20,-125
744,20,-155
745,20,-125
746,20,-125
747,20,-140
748,20,-140
749,20,-170
750,20,-155
751,20,-140
752,20,-140
753,20,-110
754,20,-125
755,20,-80
756,20,-155
757,20,-140
758,20,-140
759,20,-200
760,20,-155
761,20,-95
762,20,-155
763,20,-185
764,20,-125
765,20,-155
766,20,-80
767,20,-140
768,20,-155
769,20,-80
770,20,-125
771,20,-140
772,20,-170
773,20,-155
774,20,-185
775,20,-140
776,20,-125
777,20,-125
778,20,-125
779,20,-170
780,20,-185
781,20,-155
782,20,-95
783,20,-140
784,20,-110
785,20,-170
786,20,-155
787,20,-155
788,20,-170
789,20,-155
790,20,-125
791,20,-170
792,20,-125
793,20,-140
794,20,-140
795,20,-125
796,20,-140
797,20,-80
798,20,-125
799,20,-140
800,20,-170
801,20,-125
802,20,-125
803,20,-80
804,20,-170
805,20,-140
806,20,-185
807,16,15
808,20,-155
809,20,-140
810,20,-170
811,20,-125
812,20,-125
813,20,-185
814,20,-80
815,20,-140
816,20,-25
817,20,-140
818,20,-155
819,20,-125
820,20,-155
821,20,-110
822,20,-170
823,10,60
824,20,-125
825,20,-140
826,20,-110
827,20,-155
828,9,55
829,20,-170
830,20,-170
831,20,-110
832,20,-140
833,20,-155
834,20,-125
835,20,-125
836,20,-125
837,20,-140
838,20,-125
839,20,-110
840,20,-140
841,20,-155
842,20,-110
843,20,-170
844,20,-155
845,20,-155
846,20,-140
847,20,-155
848,20,-140
849,20,-140
850,20,-110
851,20,-185
852,20,-155
853,20,-170
854,20,-155
855,20,-110
856,20,-140
857,20,-170
858,20,-170
859,20,-140
860,20,-80
861,20,-185
862,20,-185
863,20,-140
864,20,-140
865,20,-110
866,20,-80
867,20,-110
868,20,-155
869,20,-110
870,20,-110
871,20,-140
872,20,-155
873,7,75
874,20,-140
875,20,-155
876,20,-140
877,19,15
878,20,-125
879,20,-140
880,20,-155
881,20,-125
882,20,-140
883,20,-125
884,20,-155
885,20,-110
886,20,-125
887,20,-140
888,20,-140
889,20,-125
890,20,-140
891,20,-95
892,20,-185
893,20,-125
894,20,-110
895,20,-140
896,20,-125
897,11,50
898,20,-140
899,20,-140
900,20,-140
901,20,-170
902,20,-80
903,20,-155
904,20,-155
905,20,-125
906,20,-155
907,20,-125
908,20,-155
909,20,-155
910,4,105
911,20,-80
912,20,-110
913,20,-140
914,20,-110
915,20,-155
916,20,-155
917,20,-140
918,20,-95
919,20,-155
920,20,-125
921,20,-185
922,20,-125
923,15,10
924,20,-125
925,20,-125
926,20,-95
927,13,60
928,20,-65
929,20,-125
930,20,-170
931,20,-140
932,20,-125
933,20,-155
934,20,-170
935,20,-140
936,20,-155
937,20,-95
938,20,-185
939,20,-110
940,20,-170
941,20,-155
942,20,-170
943,20,-170
944,20,-140
945,20,-170
946,20,-170
947,20,-110
948,20,-140
949,20,-185
950,20,-140
951,20,-110
952,20,-140
953,20,-185
954,20,-140
955,20,-125
956,20,-95
957,20,-155
958,20,-155
959,20,-170
960,20,-140
961,20,-140
962,20,-95
963,20,-140
964,20,-170
965,20,-155
966,20,-170
967,20,-110
968,20,-125
969,20,-170
970,20,-170
971,20,-185
972,20,-140
973,20,-140
974,20,-125
975,20,-125
976,20,-140
977,20,-125
978,20,-140
979,20,-140
980,20,-185
981,20,-110
982,20,-155
983,20,-155
984,20,-140
985,20,-110
986,20,-170
987,20,-125
988,20,-110
989,20,-140
990,20,-125
991,20,-110
992,20,-125
993,20,-155
994,20,-155
995,20,-95
996,20,-95
997,20,-140
998,20,-125
999,20,-155
1000,20,-140
1001,20,-155
1002,20,-125
1003,20,-125
1004,20,-95
1005,20,-170
1006,20,-170
1007,20,-155
1008,20,-170
1009,20,-170
1010,20,-125
1011,20,-140
1012,20,-155
1013,20,-125
1014,20,-140
1015,20,-110
1016,20,-80
1017,20,-155
1018,20,-140
1019,20,-185
1020,20,-110
1021,20,-155
1022,20,-140
1023,20,-140
1024,20,-170
1025,20,-140
1026,20,-140
1027,20,-125
1028,20,-140
1029,20,-170
1030,20,-170
1031,20,-170
1032,20,-155
1033,20,-155
1034,20,-125
1035,20,-170
1036,20,-155
1037,20,-125
1038,20,-155
1039,20,-155
1040,20,-125
1041,20,-170
1042,20,-140
1043,20,-125
1044,20,-110
1045,20,-140
1046,20,-170
1047,20,-125
1048,20,-185
1049,20,-140
1050,20,-155
1051,20,-155
1052,20,-155
1053,20,-140
1054,20,-110
1055,20,-155
1056,20,-140
1057,20,-155
1058,20,-125
1059,20,-140
1060,20,-140
1061,20,-140
1062,20,-140
1063,20,-140
1064,20,-95
1065,20,-155
1066,20,-170
1067,20,-110
1068,20,-110
1069,20,-95
1070,20,-125
1071,20,-155
1072,20,-80
1073,20,-110
1074,20,-140
1075,20,-140
1076,19,-45
1077,20,-170
1078,20,-155
1079,20,-140
1080,20,-125
1081,20,-185
1082,20,-95
1083,20,-110
1084,5,95
1085,20,-80
1086,20,-95
1087,20,-155
1088,20,-140
1089,20,-155
1090,20,-95
1091,20,-155
1092,20,-140
1093,20,-170
1094,20,-110
1095,20,-155
1096,20,-80
1097,20,-155
1098,20,-140
1099,20,-80
1100,20,-140
1101,20,-155
1102,20,-155
1103,20,-140
1104,10,30
1105,20,-125
1106,20,-110
1107,20,-155
1108,20,-140
1109,20,-80
1110,20,-185
1111,20,-125
1112,20,-170
1113,20,-170
1114,20,-125
1115,20,-80
1116,20,-155
1117,20,-140
1118,20,-155
1119,20,-125
1120,20,-95
1121,20,-125
1122,20,-140
1123,20,-170
1124,20,-155
1125,20,-155
1126,20,-140
1127,20,-170
1128,20,-125
1129,20,-140
1130,20,-155
1131,20,-110
1132,20,-155
1133,20,-155
1134,20,-125
1135,20,-140
1136,20,-125
1137,20,-155
1138,20,-110
1139,20,-110
1140,20,-155
1141,14,35
1142,20,-125
1143,20,-95
1144,20,-155
1145,20,-95
1146,20,-170
1147,20,-170
1148,20,-155
1149,20,-140
1150,20,-155
1151,20,-95
1152,20,-155
1153,20,-125
1154,20,-155
1155,20,-155
1156,20,-110
1157,20,-125
1158,20,-140
1159,20,-155
1160,20,-170
1161,20,-170
1162,20,-140
1163,20,-140
1164,20,-155
1165,20,-125
1166,20,-155
1167,20,-110
1168,20,-140
1169,20,-170
1170,20,-110
1171,20,-155
1172,20,-95
1173,20,-140
1174,20,-95
1175,20,-110
1176,20,-155
1177,20,-155
1178,20,-155
1179,20,-110
1180,20,-155
1181,20,-125
1182,20,-125
1183,20,-140
1184,18,40
1185,20,-95
1186,20,-125
1187,20,-125
1188,20,-95
1189,13,45
1190,20,-140
1191,6,70
1192,20,-185
1193,20,-95
1194,20,-95
1195,20,-80
1196,20,-140
1197,20,-155
1198,20,-140
1199,20,-140
1200,20,-140
1201,20,-80
1202,20,-125
1203,20,-95
1204,20,-95
1205,20,-155
1206,20,-110
1207,20,-155
1208,20,-125
1209,20,-140
1210,14,50
1211,20,-155
1212,20,-110
1213,20,-125
1214,20,-110
1215,19,0
1216,20,-125
1217,20,-170
1218,20,-125
1219,20,-170
1220,20,-155
1221,20,-110
1222,20,-125
1223,20,-110
1224,20,-125
1225,20,-95
1226,20,-155
1227,20,-155
1228,20,-155
1229,20,-170
1230,20,-110
1231,20,-95
1232,20,-110
1233,20,-80
1234,20,-155
1235,20,-185
1236,20,-155
1237,20,-155
1238,20,-155
1239,20,-140
1240,20,-140
1241,20,-40
1242,20,-125
1243,20,-140
